retailer_code,source_year,year,kpi,method,kpi_type,source_value,source_unit,value,unit,unit_neum,unit_denom_1,unit_denom_2,business_scope,note
COOP,2018,2016,Scope 1 and 2,Market,Measure,338207,tCO2e,338207,tCO2e,,,,UK,
COOP,2017,2017,Scope 1 and 2,Market,Measure,296714,tCO2e,296714,tCO2e,,,,UK,
COOP,2018,2017,Scope 1 and 2,Market,Measure,247417,tCO2e,247417,tCO2e,,,,UK,
COOP,2019,2019,Scope 1 and 2,Market,Measure,321931,tCO2e,321931,tCO2e,,,,UK,
COOP,2020,2020,Scope 1 and 2,Market,Measure,206000,tCO2e,206000,tCO2e,,,,UK,
COOP,2021,2021,Scope 1 and 2,Market,Measure,198000,tCO2e,198000,tCO2e,,,,UK,
COOP,2022,2022,Scope 1 and 2,Market,Measure,181000,tCO2e,181000,tCO2e,,,,UK,
COOP,2012,2012,Scope 2,Location,Measure,560507,tCO2e,560507,tCO2e,,,,UK,
COOP,2013,2012,Scope 2,Location,Measure,444101,tCO2e,444101,tCO2e,,,,UK,
COOP,2014,2013,Scope 2,Location,Measure,392528,tCO2e,392528,tCO2e,,,,UK,
COOP,2014,2014,Scope 2,Location,Measure,403386,tCO2e,403386,tCO2e,,,,UK,
COOP,2015,2015,Scope 2,Location,Measure,357520,tCO2e,357520,tCO2e,,,,UK,
COOP,2016,2016,Scope 2,Location,Measure,310439,tCO2e,310439,tCO2e,,,,UK,
COOP,2017,2017,Scope 2,Location,Measure,245766,tCO2e,245766,tCO2e,,,,UK,
COOP,2018,2018,Scope 2,Location,Measure,188563,tCO2e,188563,tCO2e,,,,UK,
COOP,2019,2019,Scope 2,Location,Measure,164911,tCO2e,164911,tCO2e,,,,UK,
COOP,2020,2019,Scope 2,Location,Measure,192000,tCO2e,192000,tCO2e,,,,UK,
COOP,2020,2020,Scope 2,Location,Measure,167000,tCO2e,167000,tCO2e,,,,UK,
COOP,2021,2021,Scope 2,Location,Measure,121000,tCO2e,121000,tCO2e,,,,UK,
COOP,2022,2022,Scope 2,Location,Measure,107000,tCO2e,107000,tCO2e,,,,UK,
COOP,2012,2012,Scope 2,Market,Measure,515185,tCO2e,515185,tCO2e,,,,UK,
COOP,2013,2013,Scope 2,Market,Measure,7393,tCO2e,7393,tCO2e,,,,UK,
COOP,2014,2014,Scope 2,Market,Measure,7799,tCO2e,7799,tCO2e,,,,UK,
COOP,2015,2015,Scope 2,Market,Measure,3575,tCO2e,3575,tCO2e,,,,UK,
COOP,2017,2017,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
COOP,2018,2018,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
COOP,2019,2019,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
COOP,2020,2019,Scope 2,Market,Measure,27000,tCO2e,27000,tCO2e,,,,UK,
COOP,2020,2020,Scope 2,Market,Measure,24000,tCO2e,24000,tCO2e,,,,UK,
COOP,2021,2021,Scope 2,Market,Measure,0,tCO2e,0,tCO2e,,,,UK,
COOP,2022,2022,Scope 2,Market,Measure,1,tCO2e,1,tCO2e,,,,UK,
COOP,2023,2016,Scope 3,Location,Measure,4886,tCO2e,4886,tCO2e,,,,UK,
COOP,2023,2023,Scope 3,Location,Measure,3849,tCO2e,3849,tCO2e,,,,UK,
COOP,2024,2024,Scope 3,Location,Measure,4333,tCO2e,4333,tCO2e,,,,UK,
ICE,2020,2019,Scope 1 and 2,Location,Intensity,0.0583,tCO2e/mGBP Sales Revenue,5.83,tCO2e/mGBP Sales Revenue,tCO2e,mGBP,Sales Revenue,UK,Source value * 100 to align with other values
