"retailer_code","year","kpi","kpi_type","method","unit","unit_neum","unit_denom_1","unit_denom_2","business_scope","value","retailer","new_store","total_store","new_area","total_area","hex"
"ICE",2022,"Scope 1 and 2","Intensity","Market","tCO2e/mGBP Sales Revenue","tCO2e","mGBP","Sales Revenue","UK",1.83,"Iceland",19,950,15960,765800,"#A10300FF"
"ICE",2023,"Scope 1 and 2","Measure","Market","tCO2e","","","","UK",67118,"Iceland",9,959,7560,773360,"#A10300FF"
"ICE",2023,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",162520,"Iceland",9,959,7560,773360,"#A10300FF"
"ICE",2023,"Energy","Measure",NA,"GWh","","","","UK",743.007191,"Iceland",9,959,7560,773360,"#A10300FF"
"ICE",2023,"Scope 1 and 2","Intensity","Market","tCO2e/mGBP Sales Revenue","tCO2e","mGBP","Sales Revenue","UK",1.63,"Iceland",9,959,7560,773360,"#A10300FF"
"ICE",2023,"Scope 1","Measure","Location","tCO2e","","","","UK",67117,"Iceland",9,959,7560,773360,"#A10300FF"
"ICE",2023,"Scope 1 and 2","Intensity","Location","tCO2e/mGBP Sales Revenue","tCO2e","mGBP","Sales Revenue","UK",3.95,"Iceland",9,959,7560,773360,"#A10300FF"
"ICE",2023,"Scope 2","Measure","Location","tCO2e","","","","UK",95403,"Iceland",9,959,7560,773360,"#A10300FF"
"JLP",2014,"Scope 1","Measure","Location","tCO2e","","","","UK",211654,"Waitrose",389,389,481880,481880,"#005300FF"
"JLP",2014,"Scope 1 and 2","Measure","Location","tCO2e","","","","UK",559144,"Waitrose",389,389,481880,481880,"#005300FF"
"JLP",2014,"Scope 2","Intensity","Market","tCO2e/mGBP Sales","tCO2e","mGBP","Sales","UK",57,"Waitrose",389,389,481880,481880,"#005300FF"
"JLP",2014,"Scope 2","Measure","Location","tCO2e","","","","UK",316343,"Waitrose",389,389,481880,481880,"#005300FF"
"JLP",2014,"Scope 3","Measure","Location","tCO2e","","","","UK",61866,"Waitrose",389,389,481880,481880,"#005300FF"
